# Pause toggle, 2026-08-12, MacBookPro18,3. Pass 1 paused, pass 2 unpaused.
# Mic state (CoreAudio, device 90), 5 Hz:
14:42:32.124  device=90  live
14:42:51.338  device=90  MUTED
14:42:56.234  device=90  live
done
# Lid angle, 10 Hz:
14:42:54.500    37°  screens=1  raw: 01 25 00
14:42:54.603    52°  screens=1  raw: 01 34 00
14:42:54.709    69°  screens=1  raw: 01 45 00
14:42:54.810    85°  screens=1  raw: 01 55 00
14:42:54.923   100°  screens=1  raw: 01 64 00
14:42:55.030   110°  screens=1  raw: 01 6e 00
14:42:55.136   114°  screens=1  raw: 01 72 00
14:42:55.242   114°  screens=1  raw: 01 72 00
14:42:55.348   114°  screens=1  raw: 01 72 00
14:42:55.454   114°  screens=1  raw: 01 72 00
14:42:55.560   114°  screens=1  raw: 01 72 00
14:42:55.667   114°  screens=1  raw: 01 72 00
14:42:55.772   114°  screens=1  raw: 01 72 00
14:42:55.877   114°  screens=1  raw: 01 72 00
14:42:55.982   114°  screens=1  raw: 01 72 00
14:42:56.086   114°  screens=1  raw: 01 72 00
14:42:56.189   114°  screens=1  raw: 01 72 00
14:42:56.295   114°  screens=1  raw: 01 72 00
14:42:56.401   114°  screens=1  raw: 01 72 00
14:42:56.507   114°  screens=1  raw: 01 72 00
14:42:56.611   114°  screens=1  raw: 01 72 00
14:42:56.718   114°  screens=1  raw: 01 72 00
14:42:56.822   114°  screens=1  raw: 01 72 00
14:42:56.924   114°  screens=1  raw: 01 72 00
14:42:57.028   114°  screens=1  raw: 01 72 00
14:42:57.132   114°  screens=1  raw: 01 72 00
14:42:57.238   114°  screens=1  raw: 01 72 00
14:42:57.344   114°  screens=1  raw: 01 72 00
14:42:57.448   114°  screens=1  raw: 01 72 00
14:42:57.554   114°  screens=1  raw: 01 72 00
14:42:57.659   114°  screens=1  raw: 01 72 00
14:42:57.766   114°  screens=1  raw: 01 72 00
14:42:57.872   114°  screens=1  raw: 01 72 00
14:42:57.978   114°  screens=1  raw: 01 72 00
14:42:58.085   114°  screens=1  raw: 01 72 00
14:42:58.189   114°  screens=1  raw: 01 72 00
14:42:58.291   114°  screens=1  raw: 01 72 00
14:42:58.393   114°  screens=1  raw: 01 72 00
14:42:58.499   114°  screens=1  raw: 01 72 00
14:42:58.607   114°  screens=1  raw: 01 72 00
14:42:58.712   114°  screens=1  raw: 01 72 00
14:42:58.818   114°  screens=1  raw: 01 72 00
14:42:58.924   114°  screens=1  raw: 01 72 00
14:42:59.029   114°  screens=1  raw: 01 72 00
14:42:59.131   114°  screens=1  raw: 01 72 00
14:42:59.235   114°  screens=1  raw: 01 72 00
14:42:59.337   114°  screens=1  raw: 01 72 00
14:42:59.440   114°  screens=1  raw: 01 72 00
14:42:59.543   114°  screens=1  raw: 01 72 00
14:42:59.648   114°  screens=1  raw: 01 72 00
14:42:59.751   114°  screens=1  raw: 01 72 00
14:42:59.854   114°  screens=1  raw: 01 72 00
14:42:59.958   114°  screens=1  raw: 01 72 00
14:43:00.062   114°  screens=1  raw: 01 72 00
14:43:00.166   114°  screens=1  raw: 01 72 00
14:43:00.269   114°  screens=1  raw: 01 72 00
14:43:00.371   114°  screens=1  raw: 01 72 00
14:43:00.477   114°  screens=1  raw: 01 72 00
14:43:00.582   114°  screens=1  raw: 01 72 00
14:43:00.688   114°  screens=1  raw: 01 72 00
14:43:00.794   114°  screens=1  raw: 01 72 00
14:43:00.904   114°  screens=1  raw: 01 72 00
14:43:01.007   114°  screens=1  raw: 01 72 00
14:43:01.114   114°  screens=1  raw: 01 72 00
14:43:01.219   114°  screens=1  raw: 01 72 00
14:43:01.324   114°  screens=1  raw: 01 72 00
14:43:01.428   114°  screens=1  raw: 01 72 00
14:43:01.534   114°  screens=1  raw: 01 72 00
14:43:01.637   114°  screens=1  raw: 01 72 00
14:43:01.738   114°  screens=1  raw: 01 72 00
14:43:01.841   114°  screens=1  raw: 01 72 00
14:43:01.943   114°  screens=1  raw: 01 72 00
14:43:02.049   114°  screens=1  raw: 01 72 00
14:43:02.153   114°  screens=1  raw: 01 72 00
14:43:02.253   114°  screens=1  raw: 01 72 00
14:43:02.359   114°  screens=1  raw: 01 72 00
14:43:02.465   114°  screens=1  raw: 01 72 00
14:43:02.570   114°  screens=1  raw: 01 72 00
14:43:02.674   114°  screens=1  raw: 01 72 00
14:43:02.776   114°  screens=1  raw: 01 72 00
14:43:02.882   114°  screens=1  raw: 01 72 00
14:43:02.986   114°  screens=1  raw: 01 72 00
14:43:03.089   114°  screens=1  raw: 01 72 00
14:43:03.194   114°  screens=1  raw: 01 72 00
14:43:03.300   114°  screens=1  raw: 01 72 00
14:43:03.404   114°  screens=1  raw: 01 72 00
14:43:03.509   114°  screens=1  raw: 01 72 00
14:43:03.615   114°  screens=1  raw: 01 72 00
14:43:03.717   114°  screens=1  raw: 01 72 00
14:43:03.823   114°  screens=1  raw: 01 72 00
14:43:03.928   114°  screens=1  raw: 01 72 00
14:43:04.034   114°  screens=1  raw: 01 72 00
14:43:04.139   114°  screens=1  raw: 01 72 00
14:43:04.244   114°  screens=1  raw: 01 72 00
14:43:04.345   114°  screens=1  raw: 01 72 00
14:43:04.451   114°  screens=1  raw: 01 72 00
14:43:04.557   114°  screens=1  raw: 01 72 00
14:43:04.660   114°  screens=1  raw: 01 72 00
14:43:04.765   114°  screens=1  raw: 01 72 00
14:43:04.874   114°  screens=1  raw: 01 72 00
14:43:04.977   114°  screens=1  raw: 01 72 00
14:43:05.083   114°  screens=1  raw: 01 72 00
14:43:05.184   114°  screens=1  raw: 01 72 00
14:43:05.287   114°  screens=1  raw: 01 72 00
14:43:05.392   114°  screens=1  raw: 01 72 00
14:43:05.495   114°  screens=1  raw: 01 72 00
14:43:05.601   114°  screens=1  raw: 01 72 00
14:43:05.706   114°  screens=1  raw: 01 72 00
14:43:05.812   114°  screens=1  raw: 01 72 00
14:43:05.917   114°  screens=1  raw: 01 72 00
14:43:06.022   114°  screens=1  raw: 01 72 00
14:43:06.128   114°  screens=1  raw: 01 72 00
14:43:06.233   114°  screens=1  raw: 01 72 00
14:43:06.338   114°  screens=1  raw: 01 72 00
14:43:06.443   114°  screens=1  raw: 01 72 00
14:43:06.547   114°  screens=1  raw: 01 72 00
14:43:06.657   114°  screens=1  raw: 01 72 00
14:43:06.763   114°  screens=1  raw: 01 72 00
14:43:06.869   114°  screens=1  raw: 01 72 00
14:43:06.975   114°  screens=1  raw: 01 72 00
14:43:07.079   114°  screens=1  raw: 01 72 00
14:43:07.184   114°  screens=1  raw: 01 72 00
14:43:07.288   114°  screens=1  raw: 01 72 00
14:43:07.394   114°  screens=1  raw: 01 72 00
14:43:07.498   114°  screens=1  raw: 01 72 00
14:43:07.604   114°  screens=1  raw: 01 72 00
14:43:07.708   114°  screens=1  raw: 01 72 00
